script_name,command_count,ticks_run,hash_before,hash_after,hash_sequence,event_counts,chunk_delta_count,final_x,final_y,final_workers,final_confidence,invariants_passed,failure_reason
RESET_ONLY,0,0,459e899bca892987e01d9f430a8dc18960db4672c302ce5946e9759fdce96ee5,459e899bca892987e01d9f430a8dc18960db4672c302ce5946e9759fdce96ee5,459e899bca892987e01d9f430a8dc18960db4672c302ce5946e9759fdce96ee5,0,0,55,118,100,255,true,
BASIC_DIG,1,1,1bea8bf1400f3464b28f60ee21121b8fa99c6e6f3861b533a7f98d550a7e522e,70f223a5a08ec3bab552f02ab96161b374bb10f97a14f828c126098d6532cd0f,1bea8bf1400f3464b28f60ee21121b8fa99c6e6f3861b533a7f98d550a7e522e|70f223a5a08ec3bab552f02ab96161b374bb10f97a14f828c126098d6532cd0f,1,1,45,100,100,255,true,
BOUNDARY_DIG_BLOCKED,1,0,e69df0097d5613c4462b8961a45ba92d18cd6ed3945dc824547a469d09d8c232,e69df0097d5613c4462b8961a45ba92d18cd6ed3945dc824547a469d09d8c232,e69df0097d5613c4462b8961a45ba92d18cd6ed3945dc824547a469d09d8c232|e69df0097d5613c4462b8961a45ba92d18cd6ed3945dc824547a469d09d8c232,1,0,1,5,100,255,true,
MOVE_CARDINAL,2,4,6bad9d259ac34086787d87e29307a9630a1554c8a5f7976fd9bada60b014d70b,62773f6d75fcdf60eaf7dd9dd2b5c21048a95f4788fc14ccf58c528410e31a4e,6bad9d259ac34086787d87e29307a9630a1554c8a5f7976fd9bada60b014d70b|0d7879a3b03d6c87933c6d534d5d593632d85b9ed81ae6e3baa5c0f5341d8c63|62773f6d75fcdf60eaf7dd9dd2b5c21048a95f4788fc14ccf58c528410e31a4e,0,0,9,5,100,255,true,
SOURBACK_ENTRY,1,1,3ba8afee1fa224db871667ffe691640b65c4e62a305f5b660ca6ff97d78409a2,fe5ac0f68f0e1e644f2c4f8c8fef2eb17de32db9c59dead9ab228329c29942c7,3ba8afee1fa224db871667ffe691640b65c4e62a305f5b660ca6ff97d78409a2|fe5ac0f68f0e1e644f2c4f8c8fef2eb17de32db9c59dead9ab228329c29942c7,1,0,84,28,7,184,true,
SOURBACK_SLOWDOWN,1,1,5ecdafd0f57c5eea96c020d298a96c3033e8614dae26f3e972307b9f631b64ee,fadeeaf5286c4bd5461d53c28606ff84af3ec7e7fb0087e539ad96ccfe485433,5ecdafd0f57c5eea96c020d298a96c3033e8614dae26f3e972307b9f631b64ee|fadeeaf5286c4bd5461d53c28606ff84af3ec7e7fb0087e539ad96ccfe485433,1,0,85,30,100,255,true,
SOURBACK_REENTRY,1,6,64e223f0431cf770e89cb802ccd06d119893e09d659063e3ac0119d8ed097749,49caeaa850541e2d64ba866cceba62ae1f2affd67fbd3fb0b68ae97bac8ed312,64e223f0431cf770e89cb802ccd06d119893e09d659063e3ac0119d8ed097749|49caeaa850541e2d64ba866cceba62ae1f2affd67fbd3fb0b68ae97bac8ed312,2,0,10,15,97,239,true,
BLOCKED_MOVEMENT,1,3,67c606b4e3d13b3b951a105887df67912079e4c897f81ea12bcf149fc15ca13d,db8816254fc4675fc2467563029638913a5f9141bd99af864845e1c6b111da0d,67c606b4e3d13b3b951a105887df67912079e4c897f81ea12bcf149fc15ca13d|db8816254fc4675fc2467563029638913a5f9141bd99af864845e1c6b111da0d,1,0,10,10,100,255,true,
GREEDY_TIE,1,1,6bad9d259ac34086787d87e29307a9630a1554c8a5f7976fd9bada60b014d70b,2b9fff07bac3b591c58670399e8988a2b785d061040f4f5c6ef2471d5efa2c73,6bad9d259ac34086787d87e29307a9630a1554c8a5f7976fd9bada60b014d70b|2b9fff07bac3b591c58670399e8988a2b785d061040f4f5c6ef2471d5efa2c73,0,0,6,5,100,255,true,
LOW_WORKERS,1,1,0b99ae0288f6b1b44f2b898297db5242581aa8acef8444ae14d69bc7cf289e57,dcaeed2039007b0e39b488501544e1af5f068632ffd874d5a16fcf1bfad33fae,0b99ae0288f6b1b44f2b898297db5242581aa8acef8444ae14d69bc7cf289e57|dcaeed2039007b0e39b488501544e1af5f068632ffd874d5a16fcf1bfad33fae,1,0,84,28,0,184,true,
LOW_CONFIDENCE,1,1,9695a7c8653d6e1f9e55b7b19be2dae305e8e7f7a6bb55d91632c95ccad43ea1,cc623852a9682bbef38f84296cc46b3f5012cbbc73e6a6c8634fd741848c5be8,9695a7c8653d6e1f9e55b7b19be2dae305e8e7f7a6bb55d91632c95ccad43ea1|cc623852a9682bbef38f84296cc46b3f5012cbbc73e6a6c8634fd741848c5be8,1,0,84,28,7,0,true,
RENDERFRAME_BOUNDARY,0,0,459e899bca892987e01d9f430a8dc18960db4672c302ce5946e9759fdce96ee5,459e899bca892987e01d9f430a8dc18960db4672c302ce5946e9759fdce96ee5,459e899bca892987e01d9f430a8dc18960db4672c302ce5946e9759fdce96ee5,0,0,55,118,100,255,true,
